Unnamed: 0,Rank & Title,IMDb Rating,Your Rating,Unnamed: 4
,1.  The Shawshank Redemption  (1994),9.2,12345678910 NOT YET RELEASED  Seen,
,2.  The Godfather  (1972),9.2,12345678910 NOT YET RELEASED  Seen,
,3.  The Dark Knight  (2008),9.0,12345678910 NOT YET RELEASED  Seen,
,4.  The Godfather Part II  (1974),9.0,12345678910 NOT YET RELEASED  Seen,
,5.  12 Angry Men  (1957),9.0,12345678910 NOT YET RELEASED  Seen,
,6.  Schindler's List  (1993),8.9,12345678910 NOT YET RELEASED  Seen,
,7.  The Lord of the Rings: The Return of the King  (2003),8.9,12345678910 NOT YET RELEASED  Seen,
,8.  Pulp Fiction  (1994),8.8,12345678910 NOT YET RELEASED  Seen,
,9.  The Lord of the Rings: The Fellowship of the Ring  (2001),8.8,12345678910 NOT YET RELEASED  Seen,
,"10.  The Good, the Bad and the Ugly  (1966)",8.8,12345678910 NOT YET RELEASED  Seen,
,11.  Forrest Gump  (1994),8.8,12345678910 NOT YET RELEASED  Seen,
,12.  Fight Club  (1999),8.7,12345678910 NOT YET RELEASED  Seen,
,13.  The Lord of the Rings: The Two Towers  (2002),8.7,12345678910 NOT YET RELEASED  Seen,
,14.  Inception  (2010),8.7,12345678910 NOT YET RELEASED  Seen,
,15.  Star Wars: Episode V - The Empire Strikes Back  (1980),8.7,12345678910 NOT YET RELEASED  Seen,
,16.  The Matrix  (1999),8.7,12345678910 NOT YET RELEASED  Seen,
,17.  Goodfellas  (1990),8.7,12345678910 NOT YET RELEASED  Seen,
,18.  One Flew Over the Cuckoo's Nest  (1975),8.6,12345678910 NOT YET RELEASED  Seen,
,19.  Se7en  (1995),8.6,12345678910 NOT YET RELEASED  Seen,
,20.  It's a Wonderful Life  (1946),8.6,12345678910 NOT YET RELEASED  Seen,
,21.  Seven Samurai  (1954),8.6,12345678910 NOT YET RELEASED  Seen,
,22.  The Silence of the Lambs  (1991),8.6,12345678910 NOT YET RELEASED  Seen,
,23.  Saving Private Ryan  (1998),8.6,12345678910 NOT YET RELEASED  Seen,
,24.  City of God  (2002),8.6,12345678910 NOT YET RELEASED  Seen,
,25.  Interstellar  (2014),8.6,12345678910 NOT YET RELEASED  Seen,
,26.  Life Is Beautiful  (1997),8.6,12345678910 NOT YET RELEASED  Seen,
,27.  The Green Mile  (1999),8.6,12345678910 NOT YET RELEASED  Seen,
,28.  Star Wars: Episode IV - A New Hope  (1977),8.5,12345678910 NOT YET RELEASED  Seen,
,29.  Terminator 2: Judgment Day  (1991),8.5,12345678910 NOT YET RELEASED  Seen,
,30.  Back to the Future  (1985),8.5,12345678910 NOT YET RELEASED  Seen,
,31.  Spirited Away  (2001),8.5,12345678910 NOT YET RELEASED  Seen,
,32.  The Pianist  (2002),8.5,12345678910 NOT YET RELEASED  Seen,
,33.  Psycho  (1960),8.5,12345678910 NOT YET RELEASED  Seen,
,34.  Parasite  (2019),8.5,12345678910 NOT YET RELEASED  Seen,
,35.  Léon: The Professional  (1994),8.5,12345678910 NOT YET RELEASED  Seen,
,36.  Gladiator  (2000),8.5,12345678910 NOT YET RELEASED  Seen,
,37.  The Lion King  (1994),8.5,12345678910 NOT YET RELEASED  Seen,
,38.  American History X  (1998),8.5,12345678910 NOT YET RELEASED  Seen,
,39.  The Departed  (2006),8.5,12345678910 NOT YET RELEASED  Seen,
,40.  Whiplash  (2014),8.5,12345678910 NOT YET RELEASED  Seen,
,41.  The Prestige  (2006),8.5,12345678910 NOT YET RELEASED  Seen,
,42.  The Usual Suspects  (1995),8.5,12345678910 NOT YET RELEASED  Seen,
,43.  Casablanca  (1942),8.5,12345678910 NOT YET RELEASED  Seen,
,44.  Grave of the Fireflies  (1988),8.5,12345678910 NOT YET RELEASED  Seen,
,45.  Harakiri  (1962),8.5,12345678910 NOT YET RELEASED  Seen,
,46.  The Intouchables  (2011),8.5,12345678910 NOT YET RELEASED  Seen,
,47.  Modern Times  (1936),8.4,12345678910 NOT YET RELEASED  Seen,
,48.  Once Upon a Time in the West  (1968),8.4,12345678910 NOT YET RELEASED  Seen,
,49.  Cinema Paradiso  (1988),8.4,12345678910 NOT YET RELEASED  Seen,
,50.  Rear Window  (1954),8.4,12345678910 NOT YET RELEASED  Seen,
,51.  Alien  (1979),8.4,12345678910 NOT YET RELEASED  Seen,
,52.  City Lights  (1931),8.4,12345678910 NOT YET RELEASED  Seen,
,53.  Apocalypse Now  (1979),8.4,12345678910 NOT YET RELEASED  Seen,
,54.  Memento  (2000),8.4,12345678910 NOT YET RELEASED  Seen,
,55.  Django Unchained  (2012),8.4,12345678910 NOT YET RELEASED  Seen,
,56.  Raiders of the Lost Ark  (1981),8.4,12345678910 NOT YET RELEASED  Seen,
,57.  WALL·E  (2008),8.4,12345678910 NOT YET RELEASED  Seen,
,58.  The Lives of Others  (2006),8.4,12345678910 NOT YET RELEASED  Seen,
,59.  Sunset Blvd.  (1950),8.4,12345678910 NOT YET RELEASED  Seen,
,60.  Paths of Glory  (1957),8.4,12345678910 NOT YET RELEASED  Seen,
,61.  The Shining  (1980),8.4,12345678910 NOT YET RELEASED  Seen,
,62.  The Great Dictator  (1940),8.4,12345678910 NOT YET RELEASED  Seen,
,63.  Avengers: Infinity War  (2018),8.4,12345678910 NOT YET RELEASED  Seen,
,64.  Witness for the Prosecution  (1957),8.4,12345678910 NOT YET RELEASED  Seen,
,65.  Aliens  (1986),8.3,12345678910 NOT YET RELEASED  Seen,
,66.  Spider-Man: Into the Spider-Verse  (2018),8.3,12345678910 NOT YET RELEASED  Seen,
,67.  American Beauty  (1999),8.3,12345678910 NOT YET RELEASED  Seen,
,68.  Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb  (1964),8.3,12345678910 NOT YET RELEASED  Seen,
,69.  The Dark Knight Rises  (2012),8.3,12345678910 NOT YET RELEASED  Seen,
,70.  Inglourious Basterds  (2009),8.3,12345678910 NOT YET RELEASED  Seen,
,71.  Oldboy  (2003),8.3,12345678910 NOT YET RELEASED  Seen,
,72.  Amadeus  (1984),8.3,12345678910 NOT YET RELEASED  Seen,
,73.  Coco  (2017),8.3,12345678910 NOT YET RELEASED  Seen,
,74.  Toy Story  (1995),8.3,12345678910 NOT YET RELEASED  Seen,
,75.  Braveheart  (1995),8.3,12345678910 NOT YET RELEASED  Seen,
,76.  Joker  (2019),8.3,12345678910 NOT YET RELEASED  Seen,
,77.  Das Boot  (1981),8.3,12345678910 NOT YET RELEASED  Seen,
,78.  Avengers: Endgame  (2019),8.3,12345678910 NOT YET RELEASED  Seen,
,79.  Princess Mononoke  (1997),8.3,12345678910 NOT YET RELEASED  Seen,
,80.  Good Will Hunting  (1997),8.3,12345678910 NOT YET RELEASED  Seen,
,81.  Once Upon a Time in America  (1984),8.3,12345678910 NOT YET RELEASED  Seen,
,82.  Your Name.  (2016),8.3,12345678910 NOT YET RELEASED  Seen,
,83.  Singin' in the Rain  (1952),8.3,12345678910 NOT YET RELEASED  Seen,
,84.  3 Idiots  (2009),8.3,12345678910 NOT YET RELEASED  Seen,
,85.  Requiem for a Dream  (2000),8.3,12345678910 NOT YET RELEASED  Seen,
,86.  High and Low  (1963),8.3,12345678910 NOT YET RELEASED  Seen,
,87.  Toy Story 3  (2010),8.3,12345678910 NOT YET RELEASED  Seen,
,88.  Capernaum  (2018),8.3,12345678910 NOT YET RELEASED  Seen,
,89.  Star Wars: Episode VI - Return of the Jedi  (1983),8.3,12345678910 NOT YET RELEASED  Seen,
,90.  2001: A Space Odyssey  (1968),8.3,12345678910 NOT YET RELEASED  Seen,
,91.  Eternal Sunshine of the Spotless Mind  (2004),8.3,12345678910 NOT YET RELEASED  Seen,
,92.  Come and See  (1985),8.3,12345678910 NOT YET RELEASED  Seen,
,93.  Reservoir Dogs  (1992),8.3,12345678910 NOT YET RELEASED  Seen,
,94.  The Hunt  (2012),8.3,12345678910 NOT YET RELEASED  Seen,
,95.  Lawrence of Arabia  (1962),8.2,12345678910 NOT YET RELEASED  Seen,
,96.  Citizen Kane  (1941),8.2,12345678910 NOT YET RELEASED  Seen,
,97.  M  (1931),8.2,12345678910 NOT YET RELEASED  Seen,
,98.  Ikiru  (1952),8.2,12345678910 NOT YET RELEASED  Seen,
,99.  North by Northwest  (1959),8.2,12345678910 NOT YET RELEASED  Seen,
,100.  The Apartment  (1960),8.2,12345678910 NOT YET RELEASED  Seen,
,101.  Vertigo  (1958),8.2,12345678910 NOT YET RELEASED  Seen,
,102.  Amélie  (2001),8.2,12345678910 NOT YET RELEASED  Seen,
,103.  Double Indemnity  (1944),8.2,12345678910 NOT YET RELEASED  Seen,
,104.  A Clockwork Orange  (1971),8.2,12345678910 NOT YET RELEASED  Seen,
,105.  Full Metal Jacket  (1987),8.2,12345678910 NOT YET RELEASED  Seen,
,106.  Scarface  (1983),8.2,12345678910 NOT YET RELEASED  Seen,
,107.  Incendies  (2010),8.2,12345678910 NOT YET RELEASED  Seen,
,108.  Heat  (1995),8.2,12345678910 NOT YET RELEASED  Seen,
,109.  Hamilton  (2020),8.2,12345678910 NOT YET RELEASED  Seen,
,110.  Up  (2009),8.2,12345678910 NOT YET RELEASED  Seen,
,111.  To Kill a Mockingbird  (1962),8.2,12345678910 NOT YET RELEASED  Seen,
,112.  The Sting  (1973),8.2,12345678910 NOT YET RELEASED  Seen,
,113.  A Separation  (2011),8.2,12345678910 NOT YET RELEASED  Seen,
