id,title,release_year,rating,runtime,director_id
1,The Shawshank Redemption,1994,9.2,142,43
2,The Godfather,1972,9.2,175,41
3,The Dark Knight,2008,9,152,20
4,The Godfather Part II,1974,9,202,41
5,12 Angry Men,1957,9,96,130
6,Schindler's List,1993,8.9,195,135
7,The Lord of the Rings: The Return of the King,2003,8.9,201,109
8,Pulp Fiction,1994,8.8,154,111
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178,109
10,"The Good, the Bad and the Ugly",1966,8.8,178,128
11,Forrest Gump,1994,8.8,142,119
12,Fight Club,1999,8.7,139,28
13,The Lord of the Rings: The Two Towers,2002,8.7,179,109
14,Inception,2010,8.7,148,20
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,60
16,The Matrix,1999,8.7,136,81
17,Goodfellas,1990,8.7,145,90
18,One Flew Over the Cuckoo's Nest,1975,8.6,133,98
19,Se7en,1995,8.6,127,28
20,It's a Wonderful Life,1946,8.6,130,42
21,Seven Samurai,1954,8.6,207,3
22,The Silence of the Lambs,1991,8.6,118,76
23,Saving Private Ryan,1998,8.6,169,135
24,City of God,2002,8.6,130,38
25,Interstellar,2014,8.6,169,20
26,Life Is Beautiful,1997,8.6,116,120
27,The Green Mile,1999,8.6,189,43
28,Star Wars: Episode IV - A New Hope,1977,8.5,121,47
29,Terminator 2: Judgment Day,1991,8.5,137,62
30,Back to the Future,1985,8.5,116,119
31,Spirited Away,2001,8.5,125,57
32,The Pianist,2002,8.5,150,122
33,Psycho,1960,8.5,109,5
34,Parasite,2019,8.5,132,11
35,Léon: The Professional,1994,8.5,110,85
36,The Lion King,1994,8.5,88,121
37,Gladiator,2000,8.5,155,115
38,American History X,1998,8.5,119,146
39,The Departed,2006,8.5,151,90
40,Whiplash,2014,8.5,106,24
41,The Prestige,2006,8.5,130,20
42,The Usual Suspects,1995,8.5,106,14
43,Casablanca,1942,8.5,102,95
44,Grave of the Fireflies,1988,8.5,89,61
45,Harakiri,1962,8.5,133,91
46,The Intouchables,2011,8.5,112,103
47,Modern Times,1936,8.4,87,19
48,Once Upon a Time in the West,1968,8.4,165,128
49,Cinema Paradiso,1988,8.4,155,51
50,Rear Window,1954,8.4,112,5
51,Alien,1979,8.4,117,115
52,City Lights,1931,8.4,87,19
53,Apocalypse Now,1979,8.4,147,41
54,Memento,2000,8.4,113,20
55,Django Unchained,2012,8.4,165,111
56,Raiders of the Lost Ark,1981,8.4,115,135
57,WALL·E,2008,8.4,98,6
58,The Lives of Others,2006,8.4,137,39
59,Sunset Blvd.,1950,8.4,110,9
60,Paths of Glory,1957,8.4,88,133
61,The Shining,1980,8.4,146,133
62,The Great Dictator,1940,8.4,125,19
63,Avengers: Infinity War,2018,8.4,149,7
64,Witness for the Prosecution,1957,8.4,116,9
65,Aliens,1986,8.3,137,62
66,Spider-Man: Into the Spider-Verse,2018,8.3,117,10
67,American Beauty,1999,8.3,122,125
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,95,133
69,The Dark Knight Rises,2012,8.3,164,20
70,Oldboy,2003,8.3,120,105
71,Inglourious Basterds,2009,8.3,153,111
72,Amadeus,1984,8.3,160,98
73,Coco,2017,8.3,105,83
74,Toy Story,1995,8.3,81,72
75,Braveheart,1995,8.3,178,93
76,Joker,2019,8.3,122,144
77,Das Boot,1981,8.3,122,152
