id,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct
1,6,3547197,2022,8:50,0.17,1.67,0.17,0.67,0.0,0.0,1.0,0.67,1.67,1.33,0.83,0.0,0.5,1.5,0.5,0.1,0.25,0.0
2,2,78,2022,3:00,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,666894,2022,3:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0
4,1,38017678,2022,1:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,23,459,2022,7:26,0.48,1.04,0.04,0.17,0.09,0.09,0.78,1.3,2.09,0.3,0.09,0.35,0.48,1.52,1.09,0.458,0.25,1.0
6,1,38017723,2022,5:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
7,4,240,2022,7:30,0.75,1.5,0.0,0.5,0.25,0.5,0.5,2.0,2.5,0.25,0.25,0.0,1.0,0.75,1.75,0.5,0.0,0.5
8,5,2202,2022,5:36,0.2,1.2,0.2,1.0,0.4,0.4,0.2,0.6,0.8,1.0,0.0,0.4,0.2,0.0,1.0,0.167,0.2,1.0
9,9,38017713,2022,9:26,1.0,3.11,0.33,1.67,0.78,1.0,0.33,1.0,1.33,1.22,0.11,0.0,0.78,0.67,3.11,0.321,0.2,0.778
10,10,666523,2022,13:54,1.7,4.3,0.1,1.2,0.9,1.3,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,0.395,0.083,0.692
11,2,38017738,2022,4:00,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0
12,3,133,2022,2:40,1.33,1.67,0.33,0.67,0.0,0.0,0.33,0.33,0.67,0.0,0.0,0.0,0.0,0.0,3.0,0.8,0.5,0.0
13,9,465,2022,16:00,2.67,6.33,0.78,3.11,1.89,2.33,0.33,1.44,1.78,2.11,0.22,0.22,0.44,1.22,8.0,0.421,0.25,0.81
14,1,233,2022,5:00,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4,72,2022,6:15,0.0,1.0,0.0,0.5,0.0,0.0,0.75,1.25,2.0,0.5,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,4,17896051,2022,23:30,2.25,6.5,0.75,3.0,1.75,2.25,0.5,2.75,3.25,4.5,0.25,0.5,2.75,2.0,7.0,0.346,0.25,0.778
17,2,17554006,2022,3:00,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5,0.5,1.0,0.0
